                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4367,                 8.2808,                  1.727,                      0,                      0,                      0,                      0,                  2.471,                  5.161,                 1.2292,                 0.0946,                 0.0006,                 0.0006
                      1,                  2.823,                 6.6175,                 1.3388,                      0,                      0,                      0,                      0,                 2.2088,                 4.8979,                  1.125,               0.088289,              0.0012893,              0.0012893
                      2,                 2.3582,                 5.6877,                 1.1601,                      0,                      0,                      0,                      0,                 2.0639,                  4.791,                 1.0792,               0.081967,               0.001967,               0.001967
                      3,                 2.0402,                 5.3586,                 1.0353,                      0,                      0,                      0,                      0,                 1.9473,                 4.6001,                 1.0269,               0.075633,              0.0026332,              0.0026332
                      4,                 2.0594,                 4.7852,                 1.0202,                      0,                      0,                      0,                      0,                  2.034,                 4.4382,                0.98895,               0.069288,              0.0032878,              0.0032878
                      5,                 2.0727,                 4.0447,                 1.0596,                0.00735,                0.36988,                0.03359,                0.01534,                 2.0286,                 4.1087,                0.97834,               0.062931,              0.0039309,              0.0039309
                      6,                 2.2162,                 3.5957,                 1.0353,                0.00815,                0.38824,                0.02464,                0.00779,                 1.9876,                 4.1358,                0.95931,               0.056562,              0.0045624,              0.0045624
                      7,                 2.3078,                 3.7466,                 1.0392,                0.01022,                 0.5665,                 0.1128,                0.03951,                 1.9131,                 3.8826,                0.94345,               0.050182,              0.0051824,              0.0051824
                      8,                 2.3426,                 3.5873,                 1.0624,                0.00737,                0.53246,                 0.1186,                0.03034,                 2.3788,                 3.8554,                 1.0318,               0.043791,              0.0057908,              0.0057908
                      9,                 2.4137,                 3.3165,                 1.1047,                 0.0077,                0.79139,                0.25053,                0.09778,                  2.159,                 3.5264,                  1.087,               0.037388,              0.0063877,              0.0063877
                     10,                 2.4598,                 3.3377,                  1.123,                0.91431,                0.04446,                0.26749,                0.09416,                 2.3868,                 3.3196,                 1.0489,               0.030973,               0.006973,               0.006973
                     11,                 2.3739,                 3.0565,                 1.0829,                0.65885,                0.18708,                0.32897,                0.16842,                 2.2551,                  3.164,                 1.1073,               0.024547,              0.0075468,              0.0075468
                     12,                 2.1139,                 3.1431,                 1.1075,                0.97862,                0.10605,                0.37503,                0.14315,                  2.521,                  3.219,                 1.1023,               0.018109,               0.008109,               0.008109
                     13,                 2.3256,                 3.1863,                 1.0586,                0.97862,                0.10605,                0.37503,                0.14315,                  2.521,                  3.219,                 1.1023,                0.01166,              0.0086597,              0.0086597
                     14,                 2.2997,                 3.1861,                 1.1773,                0.77612,                0.32608,                0.40909,                0.16733,                 2.3117,                 2.8653,                 1.1916,               0.008845,               0.008845,               0.008845
                     15,                 2.2352,                 3.1988,                   1.12,                0.69699,                0.27599,                0.40513,                0.16403,                 2.4878,                  2.885,                 1.2769,               0.008845,               0.008845,               0.008845
                     16,                 2.3766,                 3.4717,                 1.1441,                0.57882,                0.41641,                0.42123,                0.15831,                 2.4144,                 2.5431,                 1.1339,              0.0087625,              0.0087625,              0.0087625
                     17,                 2.2732,                  3.303,                 1.0996,                0.44963,                0.30833,                0.42515,                0.18513,                 2.2457,                 3.0541,                 1.1025,                0.00868,                0.00868,                0.00868
                     18,                 2.0352,                 3.5331,                 1.0828,                0.38546,                0.45175,                0.45742,                0.20945,                 2.1273,                 2.4315,                 1.0415,              0.0085975,              0.0085975,              0.0085975
                     19,                 2.1078,                  2.955,                 1.0519,                0.37581,                0.54345,                0.42873,                 0.1776,                 2.5316,                 2.3793,                  1.199,               0.008515,               0.008515,               0.008515
                     20,                 2.4008,                 3.0477,                  1.129,                0.44933,                0.52686,                0.47953,                0.21044,                 1.9166,                 2.5073,                 1.0014,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.9945,                 3.0011,                 1.0645,                0.44933,                0.52686,                0.47953,                0.21044,                 1.9166,                 2.5073,                 1.0014,                0.00835,                0.00835,                0.00835
                     22,                 2.5032,                 3.2677,                 1.1198,                0.21733,                0.53846,                0.35556,                0.14623,                 2.5584,                 2.3361,                 1.1085,              0.0082675,              0.0082675,              0.0082675
                     23,                 2.2026,                 3.1647,                  1.075,                0.28696,                0.49611,                 0.4045,                0.16908,                 2.1737,                 2.3168,                  1.049,               0.008185,               0.008185,               0.008185
                     24,                  2.174,                 2.8693,                 1.0447,                0.34721,                0.55291,                0.45709,                0.19382,                 2.2171,                  2.247,                 1.0824,              0.0081025,              0.0081025,              0.0081025
                     25,                 2.1063,                 2.9305,                 1.0359,                0.58654,                0.27669,                0.40633,                0.19447,                 2.1714,                 2.2184,                 1.0401,                0.00802,                0.00802,                0.00802
                     26,                 2.0819,                 2.8286,                 1.0905,                0.63656,                    0.5,                0.52739,                0.24367,                 2.0896,                 2.2704,                  1.034,              0.0079375,              0.0079375,              0.0079375
                     27,                 2.1117,                 3.0126,                  1.092,                0.54778,                0.41251,                0.51831,                0.24898,                 1.9716,                  2.289,                0.97824,               0.007855,               0.007855,               0.007855
                     28,                  1.903,                 2.8099,                 1.0169,                0.57173,                0.56973,                0.59655,                0.28731,                 2.0002,                 1.9182,                   1.01,              0.0077725,              0.0077725,              0.0077725
                     29,                 1.9366,                 2.7651,                 1.0387,                0.57173,                0.56973,                0.59655,                0.28731,                 2.0002,                 1.9182,                   1.01,                0.00769,                0.00769,                0.00769
                     30,                 1.9203,                 2.6802,                 1.0459,                0.41055,                0.58686,                0.56413,                 0.2528,                 2.0834,                 2.0825,                 1.0108,              0.0076075,              0.0076075,              0.0076075
                     31,                 2.0021,                 2.6014,                 1.0501,                0.53268,                0.58203,                0.58572,                0.27033,                 2.0025,                 2.0155,                 1.0203,               0.007525,               0.007525,               0.007525
                     32,                 1.9878,                 2.7569,                 1.0151,                0.63463,                0.48121,                0.56609,                0.24964,                 2.0239,                 2.0419,                 1.0179,              0.0074425,              0.0074425,              0.0074425
                     33,                 2.0061,                 2.8261,                 1.1566,                0.61326,                0.64157,                 0.6299,                0.30237,                 1.9025,                  1.967,                 1.0055,                0.00736,                0.00736,                0.00736
                     34,                 1.9754,                 2.6193,                 1.0745,                0.78187,                0.55089,                0.61446,                 0.2563,                  2.249,                 2.0696,                 1.0921,              0.0072775,              0.0072775,              0.0072775
                     35,                 1.9993,                 2.6446,                 1.0359,                0.58336,                0.63773,                0.63907,                0.32146,                 1.8424,                 1.8437,                 0.9796,               0.007195,               0.007195,               0.007195
                     36,                 1.9689,                 2.3458,                  1.049,                0.56451,                0.64252,                0.57894,                0.25705,                 2.3364,                 2.1549,                 1.0859,              0.0071125,              0.0071125,              0.0071125
                     37,                 2.2221,                 2.4882,                  1.131,                0.56451,                0.64252,                0.57894,                0.25705,                 2.3364,                 2.1549,                 1.0859,                0.00703,                0.00703,                0.00703
                     38,                 1.9706,                 2.3187,                 1.0582,                0.65881,                0.60522,                0.61964,                0.29905,                 2.0461,                 2.2443,                 0.9982,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.8716,                 2.5495,                 1.0436,                0.60445,                0.60837,                0.60071,                0.27607,                 2.0482,                 1.9555,                 1.0331,               0.006865,               0.006865,               0.006865
                     40,                   1.99,                  2.513,                 1.0558,                0.66901,                0.67102,                0.61191,                0.31473,                 1.9797,                 1.8962,                0.97596,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.9075,                 2.3598,                 1.0245,                0.66724,                0.66995,                0.62646,                0.32513,                 2.0194,                 1.8762,                 1.0076,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.8864,                 2.3567,                 1.0109,                0.64673,                0.68003,                0.62805,                0.29536,                 2.0086,                 1.8985,                 1.0291,              0.0066175,              0.0066175,              0.0066175
                     43,                 1.7834,                 2.3097,                 1.0357,                0.67425,                0.69406,                0.65536,                0.33271,                 1.8948,                 1.7625,                0.98049,               0.006535,               0.006535,               0.006535
                     44,                  1.759,                 2.1656,                0.98325,                0.72011,                0.63731,                 0.6579,                0.34566,                 1.9324,                  1.776,                0.99791,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.9124,                 2.3835,                 1.0196,                0.72011,                0.63731,                 0.6579,                0.34566,                 1.9324,                  1.776,                0.99791,                0.00637,                0.00637,                0.00637
                     46,                 2.0629,                 2.3499,                 1.0459,                0.72853,                0.64959,                0.67376,                0.35336,                 2.0574,                 1.7398,                 1.0315,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.9461,                 2.3622,                  1.026,                 0.6199,                0.64031,                0.66683,                0.35216,                 2.0234,                 1.7458,                 1.0146,               0.006205,               0.006205,               0.006205
                     48,                 1.9206,                 2.2531,                 1.0186,                0.72205,                0.64556,                0.70069,                0.38214,                 1.7762,                 1.6888,                0.98044,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.8714,                 2.2012,                0.98191,                0.65437,                0.62018,                 0.6871,                0.37828,                  2.005,                 1.6175,                 1.0181,                0.00604,                0.00604,                0.00604
                     50,                 1.8902,                 2.0266,                 1.0162,                0.52596,                0.71831,                 0.6407,                0.33843,                 1.9194,                 1.5937,                0.99109,              0.0059575,              0.0059575,              0.0059575
                     51,                  1.936,                 2.1359,                0.98064,                0.70415,                0.65501,                0.64967,                0.34906,                 1.9937,                 1.6325,                 1.0149,               0.005875,               0.005875,               0.005875
                     52,                 1.9179,                 2.0866,                0.99807,                0.74574,                0.66903,                0.68389,                0.36426,                 2.0031,                 1.6496,                 1.0067,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.7392,                  2.043,                0.98596,                0.74574,                0.66903,                0.68389,                0.36426,                 2.0031,                 1.6496,                 1.0067,                0.00571,                0.00571,                0.00571
                     54,                 1.7473,                 1.8764,                 1.0233,                0.66776,                0.68017,                0.67629,                0.32411,                 2.0726,                 1.7342,                 1.0328,              0.0056275,              0.0056275,              0.0056275
                     55,                 2.0038,                 1.9822,                  1.028,                0.66972,                0.61707,                0.62583,                0.30581,                 2.0028,                 1.6522,                0.98906,               0.005545,               0.005545,               0.005545
