                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1034,                 11.326,                 2.1563,                      0,                      0,                      0,                      0,                 2.0992,                 4.6765,                 1.1558,                 0.0892,                 0.0012,                 0.0012
                      1,                 3.1801,                  8.497,                 1.4928,                0.00024,                0.00329,                0.00014,                  5e-05,                 2.5558,                 4.6106,                  1.183,               0.077479,              0.0024794,              0.0024794
                      2,                 2.6668,                 6.9014,                  1.221,                0.00024,                0.00329,                0.00014,                  5e-05,                 2.4626,                 4.6505,                 1.1756,               0.065737,              0.0037373,              0.0037373
                      3,                 2.4091,                 5.4073,                 1.1999,                0.00162,                0.02632,                 0.0009,                0.00038,                 2.0298,                 4.2055,                 1.0568,               0.053974,              0.0049738,              0.0049738
                      4,                 2.4861,                 4.8172,                 1.1743,                0.00631,                0.19189,                0.00445,                0.00183,                 1.9807,                 4.0195,                 1.0066,               0.042189,              0.0061888,              0.0061888
                      5,                 2.1651,                 4.4252,                 1.0968,                0.00536,                0.39232,                0.12421,                0.04704,                 2.3993,                 3.3454,                 1.1475,               0.030382,              0.0073824,              0.0073824
                      6,                 2.8621,                 4.7003,                 1.2139,                0.00261,                0.35559,                0.07398,                0.02679,                 2.6999,                 3.5175,                 1.2969,               0.018555,              0.0085545,              0.0085545
                      7,                 2.7754,                 4.0881,                  1.219,                0.77631,                 0.0875,                0.10561,                0.03231,                 2.5675,                 3.0105,                 1.2083,              0.0094225,              0.0094225,              0.0094225
                      8,                 2.7515,                 4.9917,                 1.1749,                0.53749,                0.13355,                0.14209,                0.05338,                 2.3601,                 2.9007,                 1.1781,              0.0094225,              0.0094225,              0.0094225
                      9,                 2.4311,                 4.3244,                 1.1683,                0.43311,                0.20351,                0.16077,                0.06172,                 2.3235,                 2.5337,                 1.2475,                0.00934,                0.00934,                0.00934
